pk_order,fk_seller,fk_opportunity,dt_checkout_date,cohort,ds_type_of_load,adjusted_gmv,adjusted_net_revenue,adjusted_contribution_margin
a0b9N000000MnReQAK,00109000009gqrFAAQ,"",2023-03-23,2023-01-13,Acquisition,12920.8000,5844.7900,5844.7900
a0b9N000000MnShQAK,00109000009gqrFAAQ,"",2023-03-23,2023-01-13,Acquisition,12350.4000,5682.4800,5682.4800
a0b9N000000Ms2NQAS,00109000009gkK1AAI,0069N000002RFoYQAW,2023-03-27,2023-01-13,Mixed,46104.8500,2596.4100,1116.4100
a0b9N000000MuCuQAK,0019N000004F7LeQAK,"",2023-03-27,2023-03-27,Mixed,31686.8300,2456.9500,2456.9500
a0b9N000000N2BtQAK,0010900000FOVxSAAX,0069N000002i0MqQAI,2023-03-29,2023-03-29,Mixed,13860.5000,164.5000,164.5000
a0b9N000000N2CmQAK,00109000019J4dRAAS,0060900000LT9p2AAD,2023-03-29,2023-01-10,Stock transfer,0.0000,0.0000,0.0000
a0b9N000000NDKwQAO,0019N000004HcHeQAK,0069N000002KYwLQAW,2023-04-03,2023-03-24,Mixed,47858.4000,3474.7100,3410.1700
a0b9N000000NFA0QAO,00109000017SucwAAC,0069N000002iPEUQA2,2023-04-03,2023-01-17,Mixed,48846.5600,1780.8900,620.8900
a0b9N000000NJzwQAG,0019N000004JzAQQA0,0069N000002hHvJQAU,2023-04-04,2023-04-04,Mixed,2669.0000,563.0000,563.0000
a0b9N000000NT8CQAW,00109000009gkKkAAI,0069N000002gTmgQAE,2023-04-11,2023-03-20,Mixed,8631.7000,1233.1000,133.1000
a0b9N000000NqcmQAC,00109000009gkQdAAI,0069N000002kNw8QAE,2023-04-19,2023-02-15,Mixed,31980.8000,2180.9000,1080.9000
a0b9N000000NwBpQAK,00109000009gkViAAI,0069N000002l8NKQAY,2023-04-21,2023-03-31,Mixed,73083.7500,4067.1500,4067.1500
a0b9N000000NxsbQAC,00109000009gkKkAAI,0069N000002kN83QAE,2023-04-24,2023-03-20,Mixed,9193.8000,1432.8000,482.8000
a0b9N000000OBZ4QAO,0019N000003QH8JQAW,0069N000002lj0GQAQ,2023-04-26,2023-03-01,Mixed,52311.8500,369.5900,-12.8800
a0b9N000000OBfeQAG,00109000009gnWVAAY,0069N000002fxe9QAA,2023-04-26,2023-01-02,Mixed,10602.3000,1716.8500,216.8500
a0b9N000000PCd4QAG,00109000019J4cnAAC,0060900000LT9p2AAD,2023-05-11,2023-01-17,Stock transfer,0.0000,0.0000,0.0000
a0b9N000000PMYFQA4,00109000009gqrFAAQ,"",2023-05-16,2023-01-13,Acquisition,11878.8000,5137.6900,5137.6900
